wheel_1_joint,wheel_2_joint,wheel_3_joint,wheel_4_joint,wheel_5_joint,wheel_6_joint,time
11.262316160005845,11.262382921453508,11.262384093796157,11.262297946055758,11.262179896881719,11.262266868398795,8.580000000000005
,,,,,,8.600000000000001
11.262307360808254,11.262266241619479,11.26220486864995,11.262296895547335,11.262143466691173,11.262254614381522,8.600000000000001
11.262314618033477,11.262429179172562,11.262585053821876,11.262314442792253,11.262336595677821,11.262359686325649,8.620000000000005
11.262286764122278,11.261628799819091,11.261114777841016,11.262263247450285,11.250250913988292,11.262940625280153,8.64
11.262317320111688,11.262406057534438,11.262503683371628,11.26231023762993,11.26259331251022,11.262317635439214,8.660000000000004
11.26231474494263,11.262369141987289,11.26244714076877,11.262309869580735,11.262520648266749,11.262136474307948,8.68
,,,,,,8.700000000000003
11.262296259918427,11.261102870432971,11.262169044910085,11.262303599090139,11.262229995161047,11.262278664616808,8.700000000000003
11.26230838352641,11.262374229628081,11.262491279129604,11.262307528938429,11.262347438395295,11.262252702037713,8.719999999999999
11.262283536169084,11.261520742042688,11.26106825754608,11.262119842756144,11.261972964012998,11.26300132708116,8.740000000000002
11.2624404398682,11.262324175739503,11.262008345933703,11.262281965052342,11.26199885115884,11.262245201098628,8.760000000000005
11.26230086468239,11.262479613803096,11.263723593678897,11.262326527174883,11.262257655961815,11.262400075298759,8.780000000000001
,,,,,,8.800000000000004
11.262768814959182,11.262701700624763,11.262678090267727,11.262285316954447,11.262055819257577,11.262255436384825,8.800000000000004
11.262306718298955,11.262257285031728,11.262644044397222,11.262311580577618,11.262113035453437,11.262308572447933,8.82
11.262329166461514,11.262378152712246,11.262580004537346,11.262322491492412,11.279588017805459,11.261879258425711,8.840000000000003
11.264502146431713,11.264193939325766,11.263581170829946,11.262247025077237,11.261382719799888,11.261605377951797,8.86
11.262312888014376,11.262383133789148,11.262465113808046,11.262313617528465,11.262349511396566,11.262306322160349,8.880000000000003
,,,,,,8.900000000000006
11.26231982419663,11.262375000661025,11.262194931328194,11.262645755492173,11.262803499992145,11.262359462881056,8.900000000000006
11.262586195589039,11.262523877605187,11.262331009596437,11.262288343222206,11.262068789901887,11.262269482368811,8.920000000000002
11.26230065343506,11.262473994312295,11.263176613904589,11.262323057403368,11.262338769154242,11.262396429162562,8.940000000000005
11.262871001931785,11.26286801939749,11.262714850005553,11.262272505951865,11.261834991275533,11.262238549390409,8.96
11.262286234420914,11.261715609144026,11.263143845479602,11.262306504427093,11.262052128531677,11.262110935529318,8.980000000000004
,,,,,,9.0
11.262299172790902,11.26230307464208,11.263127876416181,11.26232912675816,11.262141302327196,11.262280545499381,9.0
11.2623041707338,11.262021534418555,11.26198784816412,11.263195529427534,11.26373460169642,11.262528990988567,9.020000000000003
11.262306722332983,11.262325527679513,11.26235102556876,11.262315920648584,11.262465565677056,11.26233045712683,9.04
11.262359784507442,11.263497525065812,11.263822945950889,11.262306303222026,11.262022633994595,11.26210481367017,9.060000000000002
11.262307121944179,11.262290256115191,11.262259002682212,11.26230518403667,11.262279554247982,11.26232461078835,9.080000000000005
,,,,,,9.100000000000001
11.262316427658579,11.262456886534283,11.262646606863417,11.262310672644274,11.262271568923559,11.26241962104062,9.100000000000001
11.262289546847972,11.26232627487077,11.262792127585875,11.262320980668594,11.262316894962863,11.262523873782671,9.120000000000005
11.261688641829318,11.261553300615946,11.261727972894573,11.262985742299383,11.263407236441797,11.262464325668741,9.14
11.262315146365136,11.262351262497045,11.262368932663664,11.262349862941523,11.261799144897465,11.261603790204465,9.160000000000004
11.262243626137616,11.212236918040597,11.264337581150714,11.262253437073642,11.26102623200825,11.261759734163428,9.18
,,,,,,9.200000000000003
11.263035781198964,11.260896190350772,11.261196094205218,11.26393731577976,11.26530577303694,11.262717962768322,9.200000000000003
11.262309103265386,11.26240040760535,11.262580375402836,11.262702054014323,11.2628059980595,11.26239418153,9.219999999999999
11.262310463333355,11.262353063877061,11.262410687845453,11.262308831931858,11.262294394908476,11.262239743781873,9.240000000000002
11.262302681270494,11.262188751002869,11.262018766260516,11.262299412650668,11.262221131458789,11.26230378858637,9.260000000000005
11.262328503493666,11.262265214884076,11.262491702227365,11.26229280111415,11.261952756056314,11.262179272841953,9.280000000000001
,,,,,,9.300000000000004
11.262301375444052,11.262285425917346,11.262252140957516,11.26229935518149,11.262260853465941,11.26233663560366,9.300000000000004
11.262311790877886,11.262334724517524,11.262328942798476,11.26230775499637,11.262253654565612,11.26227546742763,9.32
11.25187757870919,11.26113695808915,11.2611410466437,11.264118938667002,11.264666194307422,11.262589478597636,9.340000000000003
11.262310018998358,11.262304725446564,11.262339379877632,11.262925936987875,11.262979454599446,11.262380931592848,9.36
11.262492968699982,11.26237752206573,11.262580258624972,11.262286040759548,11.261488437812668,11.262555331180781,9.380000000000003
,,,,,,9.400000000000006
11.262306942224487,11.262310249429934,11.262334309185073,11.262310584066418,11.26237670721987,11.262323086576687,9.400000000000006
